dimension,kappa_true,backend,num_samples,replicates,seconds,samples_per_second
3,1.0,torch_hh,10000,20,0.031762750004418194,6296684.007908006
3,10.0,torch_hh,10000,20,0.017037917001289316,11738524.139122484
3,50.0,torch_hh,10000,20,0.016936208005063236,11809018.874839524
3,200.0,torch_hh,10000,20,0.014890625010593794,13431269.665155888
3,1000.0,torch_hh,10000,20,0.016098499996587634,12423517.721675534
16,1.0,torch_hh,10000,20,0.07288445900485385,2744069.212157844
16,10.0,torch_hh,10000,20,0.0794194170011906,2518275.8518235125
16,50.0,torch_hh,10000,20,0.08343550001154654,2397061.202633438
16,200.0,torch_hh,10000,20,0.08433129200420808,2371598.907674984
16,1000.0,torch_hh,10000,20,0.08636641599878203,2315714.9418220674
64,1.0,torch_hh,10000,20,0.18943879099970218,1055749.9810073979
64,10.0,torch_hh,10000,20,0.19169291699654423,1043335.3674909414
64,50.0,torch_hh,10000,20,0.20029608299955726,998521.7733910558
64,200.0,torch_hh,10000,20,0.20448604199918918,978061.8669356074
64,1000.0,torch_hh,10000,20,0.20566325000254437,972463.4809453108
256,1.0,torch_hh,10000,20,0.6918801249994431,289067.4161223536
256,10.0,torch_hh,10000,20,0.6879211250052322,290731.0049513
256,50.0,torch_hh,10000,20,0.6966410000022734,287091.9167826001
256,200.0,torch_hh,10000,20,0.6980050419952022,286530.88153677655
256,1000.0,torch_hh,10000,20,0.701409708999563,285140.0507205192
1024,1.0,torch_hh,10000,20,2.689848416004679,74353.63227533342
1024,10.0,torch_hh,10000,20,2.649887999999919,75474.88799526852
1024,50.0,torch_hh,10000,20,2.660188499998185,75182.64213236635
1024,200.0,torch_hh,10000,20,2.682966000007582,74544.3661974974
1024,1000.0,torch_hh,10000,20,2.6880351659929147,74403.78851075163
4096,1.0,torch_hh,10000,20,10.647568707994651,18783.630844272593
4096,10.0,torch_hh,10000,20,10.544451375011704,18967.321569139294
4096,50.0,torch_hh,10000,20,10.5812492499972,18901.35987487989
4096,200.0,torch_hh,10000,20,10.564764791997732,18930.85212379643
4096,1000.0,torch_hh,10000,20,10.570962124998914,18919.753721094763
