dimension,kappa_true,backend,num_samples,replicates,seconds,samples_per_second,speedup_over_scipy
3,50.0,scipy,2000,3,0.0015208749973680824,3945097.401419033,1.0
3,50.0,numpy_hh,2000,3,0.0006619579944526777,9064019.243337246,2.297540040475797
3,50.0,torch_hh,2000,3,0.0007796249992679805,7696007.70323377,1.950777615900067
16,50.0,scipy,2000,3,0.003962832997785881,1514068.3453863251,1.0
16,50.0,numpy_hh,2000,3,0.0018659999914234504,3215434.098380134,2.123704724544448
16,50.0,torch_hh,2000,3,0.002998124997247942,2001250.7835755877,1.3217704403330317
64,50.0,scipy,2000,3,0.014775417002965696,406079.90954134765,1.0
64,50.0,numpy_hh,2000,3,0.004365334010799415,1374465.2723380567,3.3847162591482665
64,50.0,torch_hh,2000,3,0.007195665995823219,833835.2563171702,2.053377270643496
256,50.0,scipy,2000,3,0.11109966700314544,54005.56240938263,1.0
256,50.0,numpy_hh,2000,3,0.01390045799780637,431640.45392942155,7.99251844944088
256,50.0,torch_hh,2000,3,0.021573416990577243,278120.0587102478,5.149840984933965
1024,50.0,scipy,2000,3,1.5793577089934843,3799.012703603268,1.0
1024,50.0,numpy_hh,2000,3,0.05493379199469928,109222.38902748526,28.750203684207367
1024,50.0,torch_hh,2000,3,0.08244962499884423,72771.70757397753,19.155426225596823
4096,50.0,scipy,2000,3,27.966179708004347,214.54485605993258,1.0
4096,50.0,numpy_hh,2000,3,0.20576562501082662,29159.3894737486,135.91278769975727
4096,50.0,torch_hh,2000,3,0.3257126669923309,18421.144180251587,85.86150476199572
