dimension,kappa_true,Banerjee,Banerjee (Torch),Converged Newton (CUSF),Converged Newton (SciPy),Direct likelihood,SciPy Brent,Sra two-step (CUSF),Sra two-step (SciPy)
3,1.0,0.0071199713991716,0.0071199713991716,1.477296063256972e-11,1.4772849610267258e-11,1.7989147949037942e-08,1.3988810110276972e-14,1.477296063256972e-11,1.4772849610267258e-11
3,10.0,0.037368462802128,0.037368462802128,3.800870729264716e-12,3.800160186528956e-12,4.473803549842614e-09,1.2434497875801752e-15,1.9499041707504715e-06,1.9499041622239587e-06
3,50.0,0.0094989898989879,0.0094989898989879,1.3500311979441904e-14,1.3500311979441904e-14,4.6698835518554924e-08,1.7053025658242404e-15,8.141673646377967e-09,8.141673646377967e-09
3,200.0,0.0024687343358439,0.0024687343358439,3.7260008411976736e-11,3.7260008411976736e-11,4.732283613861909e-08,3.367972567502875e-14,3.7260008411976736e-11,3.7260008411976736e-11
3,1000.0,0.000498749874951,0.000498749874951,9.058339855982922e-12,9.056861927092542e-12,2.7348839353180665e-08,4.1154635255225e-14,9.058339855982922e-12,9.056861927092542e-12
16,1.0,0.0001877673412318,0.0001877673412318,3.6351199828033027e-10,3.6351199828033027e-10,3.077741972390413e-08,2.220446049250313e-16,1.1102230246251563e-15,5.551115123125784e-16
16,10.0,0.0083638558689528,0.0083638558689528,1.4210854715202005e-15,0.0,1.5203785963535665e-08,1.7763568394002506e-16,6.126741780576595e-10,6.12675599143131e-10
16,50.0,0.0072124349600838,0.0072124349600838,3.0127011996228256e-14,2.8848035071860065e-14,8.734771483887015e-10,8.526512829121202e-16,2.126277820480027e-09,2.1262765415031027e-09
16,200.0,0.0023110465778384,0.0023110465778384,2.6776660888572224e-11,2.6776660888572224e-11,1.6278739423114533e-08,7.531752999057062e-15,2.6776660888572224e-11,2.6776660888572224e-11
16,1000.0,0.0004922881275201,0.0004922881275201,9.125187716563231e-12,9.125187716563231e-12,5.0119166189688264e-08,3.4106051316484808e-15,9.125187716563231e-12,9.125187716563231e-12
64,1.0,3.5802904942983105e-06,3.5802904942983105e-06,2.6645352591003757e-15,2.6645352591003757e-15,2.615346224033033e-07,1.5987211554602254e-14,4.440892098500626e-15,4.440892098500626e-15
64,10.0,0.0003286383996496,0.0003286383996496,4.796163466380677e-15,6.927791673660977e-15,3.262854502139589e-08,1.2789769243681804e-14,4.796163466380677e-15,6.927791673660977e-15
64,50.0,0.0024961525906741,0.0024961525906741,7.929514822535566e-12,7.929514822535566e-12,2.6731928244316805e-08,1.4210854715202004e-16,7.929514822535566e-12,7.929514822535566e-12
64,200.0,0.001797084648347,0.001797084648347,2.1961454876873175e-11,7.96006816017325e-12,2.6693027450619412e-08,1.4210854715202004e-16,2.1961454876873175e-11,7.96006816017325e-12
64,1000.0,0.0004689789878577,0.0004689789878577,1.0267058314639144e-12,2.5781901058508084e-12,1.4464071568909276e-08,5.4569682106375695e-15,1.0267058314639144e-12,2.5781901058508084e-12
256,1.0,5.867703611883712e-08,5.867703611883712e-08,1.0880185641326534e-14,1.0880185641326534e-14,0.9999999999949454,1.2434497875801752e-14,1.9095836023552692e-14,1.9095836023552692e-14
256,10.0,5.833190633808272e-06,5.833190633808272e-06,1.6573409311604336e-13,1.6573409311604336e-13,2.5966794936493898e-08,1.7763568394002505e-15,2.6112445539183684e-14,3.0908609005564356e-14
256,50.0,0.0001274697180095,0.0001274697180095,1.0516032489249484e-14,1.0516032489249484e-14,2.248967206242014e-08,9.521272659185343e-15,1.0516032489249484e-14,1.0516032489249484e-14
256,200.0,0.0006290438336425,0.0006290438336425,6.565414878423327e-14,4.973799150320701e-14,3.262506567125456e-09,2.3590018827235325e-14,6.565414878423327e-14,4.973799150320701e-14
256,1000.0,0.0003843167705186,0.0003843167705186,4.149569576838985e-13,2.1520918380701917e-13,3.71719602298981e-09,5.1045390137005605e-14,4.149569576838985e-13,2.1520918380701917e-13
1024,1.0,9.276881485220655e-10,9.276881485220655e-10,9.276881485220655e-10,0.0009765606428064,1.3258580122688102e-08,,1.9184653865522705e-13,
1024,10.0,9.273398209330709e-08,9.273398209330709e-08,1.5862866575844236e-13,0.0009763768329605,1.707279400520179e-07,,3.037570195374429e-13,
1024,50.0,2.297423294237433e-06,2.297423294237433e-06,2.0008883439004421e-13,0.0009719522813516,4.599604290405068e-06,,3.629452294262592e-13,
1024,200.0,3.217685098206857e-05,3.217685098206857e-05,1.0375515557825564e-10,1.0388149007667379e-10,0.9999999999999746,1.996625087485882e-13,1.050182163453428e-13,2.653166575328215e-13
1024,1000.0,0.0001663367849138,0.0001663367849138,2.196429704781622e-13,4.547473508864641e-16,1.6612808735771976e-08,8.412825991399586e-15,2.196429704781622e-13,4.547473508864641e-16
4096,1.0,1.453770437365165e-11,1.453770437365165e-11,1.453770437365165e-11,0.0002441405959174,1.5088499449866788e-08,,2.2866153415179724e-12,
4096,10.0,1.4537365089495323e-09,1.4537365089495323e-09,1.4537365089495323e-09,0.0002441377167993,1.2211678424023377e-08,,6.679101716144942e-14,
4096,50.0,3.63226564559227e-08,3.63226564559227e-08,4.897060534858612e-13,0.0002440679511325,5.757075740575602e-08,,3.346656285430072e-13,
4096,200.0,5.760191895376466e-07,5.760191895376466e-07,2.718536507018143e-13,0.0002429855683885,1.1402177533170743e-06,,1.0170708719670073e-12,
4096,1000.0,1.1708375137686743e-05,1.1708375137686743e-05,1.9353024072188415e-11,0.0002193983416506,2.4733204127642237e-05,,4.416733645484783e-13,
