dimension,kappa_true,Banerjee,Banerjee (Torch),Converged Newton (CUSF),Converged Newton (SciPy),Direct likelihood,SciPy Brent,Sra two-step (CUSF),Sra two-step (SciPy)
3,1.0,0.00713002195722265,0.00713002195722265,1.4918516106484803e-11,1.4918516106484803e-11,1.4886417355985365e-08,1.2207356329757681e-14,1.4918516106484803e-11,1.4918516106484803e-11
3,10.0,0.03736857940624865,0.03736857940624865,3.799622957928343e-12,3.801066590832324e-12,1.5019971192672208e-08,8.832591952077697e-16,1.949928527980384e-06,1.9499285267374003e-06
3,50.0,0.0094990297128106,0.0094990297128106,5.841475869989405e-14,7.567883413124545e-14,3.064103122889434e-08,1.758734825856953e-15,8.141688782784116e-09,8.141688782784116e-09
3,200.0,0.0024687450261336,0.0024687450261336,3.606359441003368e-11,3.75877006784718e-11,4.95060055054902e-08,5.341762893016199e-15,3.606359441003368e-11,3.75877006784718e-11
3,1000.0,0.00049875205203305,0.00049875205203305,2.7395751388717803e-11,3.395542039439628e-11,7.790014035169627e-08,3.072919756568481e-14,2.7395751388717803e-11,3.395542039439628e-11
16,1.0,0.00018784985272699998,0.00018784985272699998,3.6399099303627533e-10,3.639909938407762e-10,4.978028783632115e-08,2.033053824630586e-15,1.149505747038746e-15,1.5817049837539953e-15
16,10.0,0.00836389556001915,0.00836389556001915,6.214868429420492e-16,3.55724462678165e-16,1.476306970982444e-08,1.7703575544423582e-16,6.126986299672671e-10,6.126980970163324e-10
16,50.0,0.00722483657351155,0.00722483657351155,1.62371274258103e-14,1.2206380937819302e-14,1.3860329455279672e-08,1.138503635598835e-15,2.139305903600352e-09,2.1393116061968817e-09
16,200.0,0.0023103069299829,0.0023103069299829,2.7178084339254647e-11,2.7210760459676514e-11,1.645473641222232e-08,1.7066709656894905e-15,2.7178084339254647e-11,2.7210760459676514e-11
16,1000.0,0.00049212512110095,0.00049212512110095,7.376495706427944e-12,5.077368194832833e-12,2.2618573222474784e-08,1.3727330803737317e-14,7.376495706427944e-12,5.077368194832833e-12
64,1.0,4.885978326357087e-06,4.885978326357087e-06,2.5892671067076157e-14,1.6868092346342758e-14,1.0982536722008026e-07,9.036388511521151e-15,7.781560771069314e-15,7.559821347085428e-15
64,10.0,0.0003281965986159,0.0003281965986159,2.837250550909946e-15,9.49291162136622e-15,4.691747444265612e-08,9.664289836243145e-15,2.837250550909946e-15,9.49291162136622e-15
64,50.0,0.0024962620436205,0.0024962620436205,7.955992686725232e-12,7.94241345506194e-12,1.1983374328426059e-08,2.836689133385564e-16,7.955992686725232e-12,7.94241345506194e-12
64,200.0,0.00179687244639835,0.00179687244639835,2.1937781929429018e-11,7.874657680378809e-12,2.3869934580445255e-08,1.4206490895109621e-16,2.1937781929429018e-11,7.874657680378809e-12
64,1000.0,0.00046894234100195,0.00046894234100195,6.697102875148615e-13,1.0082088776172463e-12,1.518630592404981e-08,4.8931901717746074e-15,6.697102875148615e-13,1.0082088776172463e-12
256,1.0,4.4877234216973517e-07,4.4877234216973517e-07,4.5578577686083604e-14,2.9532464792844375e-14,1.1635629621077562e-06,2.4637782427574533e-14,6.6233241006334e-14,2.2899408607534907e-14
256,10.0,6.1329585432449505e-06,6.1329585432449505e-06,1.8431729645905717e-13,1.7715182676481602e-13,1.340879384699107e-07,2.1315181419717276e-14,2.7694517410028796e-14,3.0608737327007687e-14
256,50.0,0.00012774127047985,0.00012774127047985,1.302528352628612e-14,1.706841851716915e-14,4.0459427934202265e-08,1.1181777582434843e-14,1.302528352628612e-14,1.706841851716915e-14
256,200.0,0.0006289971720630501,0.0006289971720630501,4.480896736483849e-14,4.1164939037016874e-14,2.645008741557851e-08,1.2302001535012709e-14,4.480896736483849e-14,4.1164939037016874e-14
256,1000.0,0.0003843516596129,0.0003843516596129,6.301976647611875e-13,2.4184254147111924e-13,1.8571269220663562e-08,7.24187289255513e-14,6.301976647611875e-13,2.4184254147111924e-13
1024,1.0,9.897991553100571e-08,9.897991553100571e-08,1.6452909537876693e-13,0.00097636432641965,1.832466956499771e-07,,1.4727887043261467e-13,
1024,10.0,1.89596210433295e-07,1.89596210433295e-07,1.8735933802842919e-13,0.0009761828629581,3.648874484390646e-07,,1.9945190476907065e-13,
1024,50.0,2.3882845837453824e-06,2.3882845837453824e-06,1.9535928491903698e-13,0.00097176950034185,4.782563967622854e-06,,1.908653164791332e-13,
1024,200.0,3.2247289483211915e-05,3.2247289483211915e-05,1.0453247799782084e-10,1.0458448764279828e-10,0.9999999999999744,4.5461793500022484e-14,9.453683704999611e-14,1.2160552315170043e-13
1024,1000.0,0.00016634296197710002,0.00016634296197710002,2.2009959728723898e-13,1.304638685766792e-13,2.222891828756548e-08,8.199881448439329e-14,2.2009959728723898e-13,1.304638685766792e-13
4096,1.0,2.421574079959126e-08,2.421574079959126e-08,6.440146107108271e-13,0.0002440921768844,3.333910510637634e-08,,7.786189534861209e-13,
4096,10.0,2.5747679430574158e-08,2.5747679430574158e-08,5.482381199359134e-13,0.00024408911163165,3.640510394247622e-08,,6.307672163094092e-13,
4096,50.0,6.057215627254972e-08,6.057215627254972e-08,6.626376497956255e-13,0.0002440194210251,1.0611270033127367e-07,,5.392986778580405e-13,
4096,200.0,6.005866003972225e-07,6.005866003972225e-07,3.204489917400212e-13,0.00024293618222445,1.1896159763792473e-06,,2.3453457893296086e-13,
4096,1000.0,1.1727842714480471e-05,1.1727842714480471e-05,2.0163502069642717e-11,0.0002193546012298,2.4776955229289637e-05,,1.9739550179861607e-13,
