dimension,kappa_true,device,method,kind,batch_size,median_seconds,estimates_per_second,note
256,50.0,cpu,Banerjee,closed_form,1,1.9583996618166566e-05,51062.100320849575,
256,50.0,cpu,Sra two-step (SciPy),sra,1,7.237499812617898e-05,13816.926091750556,
256,50.0,cpu,Converged Newton (SciPy),converged,1,0.0001370839891023934,7294.797930435632,
256,50.0,cpu,Banerjee (Torch),closed_form,1,1.4707999071106315e-05,67990.2137038129,
256,50.0,cpu,Sra two-step (CUSF),sra,1,7.716599793639034e-05,12959.075586948573,
256,50.0,cpu,Converged Newton (CUSF),converged,1,0.00023470800078939646,4260.613173120162,
256,50.0,cpu,SciPy Brent,reference,1,5.745800444856286e-05,17404.0154996196,
256,50.0,cpu,Direct likelihood,reference,1,0.0001888330007204786,5295.684526457625,
256,50.0,cpu,Banerjee,closed_form,64,1.7583006410859525e-05,3639878.1018741284,
256,50.0,cpu,Sra two-step (SciPy),sra,64,0.00021079099678900093,303618.28054764203,
256,50.0,cpu,Converged Newton (SciPy),converged,64,0.0003445409965934232,185754.3823022124,
256,50.0,cpu,Banerjee (Torch),closed_form,64,1.45840022014454e-05,4388370.154912418,
256,50.0,cpu,Sra two-step (CUSF),sra,64,9.383300493936986e-05,682062.7778184613,
256,50.0,cpu,Converged Newton (CUSF),converged,64,0.00025837500288616866,247701.98078409408,
256,50.0,cpu,SciPy Brent,reference,64,0.0026118329988094047,24503.863772750472,
256,50.0,cpu,Direct likelihood,reference,64,0.011741249996703118,5450.867668942477,
256,50.0,cpu,Banerjee,closed_form,4096,3.4666998544707894e-05,118152715.03004913,
256,50.0,cpu,Sra two-step (SciPy),sra,4096,0.008757124989642762,467733.41762786603,
256,50.0,cpu,Converged Newton (SciPy),converged,4096,0.013215042010415345,309949.82814067224,
256,50.0,cpu,Banerjee (Torch),closed_form,4096,2.1334009943529963e-05,191993910.70135915,
256,50.0,cpu,Sra two-step (CUSF),sra,4096,0.0010880420013563707,3764560.5545501555,
256,50.0,cpu,Converged Newton (CUSF),converged,4096,0.0018711669981712475,2189008.252071116,
256,50.0,cpu,SciPy Brent,reference,4096,0.16634933299792465,24622.882016912572,
256,50.0,cpu,Direct likelihood,reference,4096,0.7690145829983521,5326.296913681254,
256,50.0,cpu,Banerjee,closed_form,65536,0.00024466600734740496,267859032.44394895,
256,50.0,cpu,Sra two-step (SciPy),sra,65536,0.13819925001007505,474213.8614733602,
256,50.0,cpu,Converged Newton (SciPy),converged,65536,0.20767595901270397,315568.5439545317,
256,50.0,cpu,Banerjee (Torch),closed_form,65536,0.0003527919907355681,185763854.3986161,
256,50.0,cpu,Sra two-step (CUSF),sra,65536,0.014489000008325092,4523155.494674878,
256,50.0,cpu,Converged Newton (CUSF),converged,65536,0.027284458992653526,2401953.435017564,
256,50.0,cpu,SciPy Brent,reference,65536,,,skipped: scalar loop too slow at this batch size
256,50.0,cpu,Direct likelihood,reference,65536,,,skipped: scalar loop too slow at this batch size
256,50.0,cpu,Banerjee,closed_form,1048576,0.0036153749970253557,290032431.1759481,
256,50.0,cpu,Sra two-step (SciPy),sra,1048576,2.201069417002145,476393.8801294871,
256,50.0,cpu,Converged Newton (SciPy),converged,1048576,3.308241208011168,316958.7506076613,
256,50.0,cpu,Banerjee (Torch),closed_form,1048576,0.0008633750112494454,1214508164.2825618,
256,50.0,cpu,Sra two-step (CUSF),sra,1048576,0.19700108299730346,5322691.550961438,
256,50.0,cpu,Converged Newton (CUSF),converged,1048576,0.30961904099967796,3386665.0985495774,
256,50.0,cpu,SciPy Brent,reference,1048576,,,skipped: scalar loop too slow at this batch size
256,50.0,cpu,Direct likelihood,reference,1048576,,,skipped: scalar loop too slow at this batch size
