claim_id,instrument,comparison_type,p,kappa_true_a,kappa_true_b,kappa_over_p,n_a,n_b,kappa_hat_a,kappa_hat_b,ratio_observed,ratio_true,verdict,null,reps,seed,tool_version,rel_rmse_a,rel_rmse_b,r_bar_a,r_bar_b,kappa_hat_a_sd,kappa_hat_b_sd
canonical-unequal-n,kappa_hat_joint_mle,unequal_n,512,25.6,25.6,0.05,70,700,67.36094400855703,32.13148637377073,2.096415435780913,1.0,not resolvable as reported at the original n,uniform,2000,90501,0.1.0,0.4358823536848286,0.18544081383545538,0.12936432628509864,0.06251208190570487,2.173402105258575,0.7873725668987397
control-matched-n,kappa_hat_joint_mle,matched_n_baseline,512,25.6,25.6,0.05,700,700,32.13662157829137,32.15134491636119,0.9995420615184801,1.0,not resolvable as reported at the original n,uniform,2000,90601,0.1.0,0.18538278203240427,0.18521674774327843,0.06252200701615171,0.06255042979490454,0.7766419813509339,0.7755707417422865
control-true-ratio-2,kappa_hat_joint_mle,matched_n_baseline,512,1024.0,512.0,1.0,1000,1000,1025.254856056773,512.8947475085824,1.998957604921889,2.0,resolvable,uniform,2000,90701,0.1.0,0.0026260669249105785,0.003211316912936688,0.7812875632584405,0.6188138406376683,2.319725455323505,1.3504269530937616
brief-illustration-n100,kappa_hat_joint_mle,matched_n_baseline,512,51.2,25.6,0.05,100,100,73.29028728416371,57.847437118790275,1.2669582428286563,2.0,not resolvable as reported at the original n,uniform,2000,90801,0.1.0,0.2608282820460051,0.4085461903536449,0.14033056732204835,0.11157809680332889,2.0338843627325462,1.7949302690476203
sweep-kop-0.001,kappa_hat_joint_mle,unequal_n,512,0.512,0.512,0.001,70,700,62.06518796719325,19.380406008615545,3.202470987429377,1.0,not resolvable as reported at the original n,uniform,2000,90901,0.1.0,0.5093251814352805,0.5026110852514618,0.11949174448531362,0.03779832760718106,1.9752398354872216,0.6058660497739173
sweep-kop-0.005,kappa_hat_joint_mle,unequal_n,512,2.56,2.56,0.005,70,700,62.15704925612606,19.53329383294603,3.1821079326256916,1.0,not resolvable as reported at the original n,uniform,2000,90902,0.1.0,0.5078877750080412,0.49483766906133947,0.11966378297114977,0.03809564836588569,1.9440045448951417,0.6147487585193053
sweep-kop-0.013,kappa_hat_joint_mle,unequal_n,512,6.656,6.656,0.013,70,700,62.46399211839387,20.485235831354878,3.0492200642760454,1.0,not resolvable as reported at the original n,uniform,2000,90903,0.1.0,0.5031378350422842,0.450286823228664,0.12023761749821144,0.039946443512953816,2.01385487399817,0.6398614647311642
sweep-kop-0.02,kappa_hat_joint_mle,unequal_n,512,10.24,10.24,0.02,70,700,63.020133220505244,21.92175381468256,2.874776067337102,1.0,not resolvable as reported at the original n,uniform,2000,90904,0.1.0,0.49470227591907734,0.39372345954894133,0.1212773825128551,0.042737807819664284,2.0074553845620686,0.6688213001884608
sweep-kop-0.05,kappa_hat_joint_mle,unequal_n,512,25.6,25.6,0.05,70,700,67.3899544810704,32.14368168085881,2.0965225810209644,1.0,not resolvable as reported at the original n,uniform,2000,90905,0.1.0,0.43552421580626244,0.18530318133761847,0.12941863398788847,0.0625356287207897,2.0996771282106197,0.783065343883893
sweep-kop-0.1,kappa_hat_joint_mle,unequal_n,512,51.2,51.2,0.1,70,700,81.1993287302168,54.851594649613055,1.4803458176359439,1.0,not resolvable as reported at the original n,uniform,2000,90906,0.1.0,0.30715145053483306,0.06628682845421427,0.15479719464576905,0.10593356107500385,2.374612755936795,0.8350072400011931
sweep-kop-0.2,kappa_hat_joint_mle,unequal_n,512,102.4,102.4,0.2,70,700,121.59267026721245,104.40544534978922,1.1646200048267688,1.0,not resolvable as reported at the original n,uniform,2000,90907,0.1.0,0.1495971484482926,0.021148932215874165,0.22544235690407913,0.1961017483912065,2.716257974818809,0.9092438573356756
