statistic,null,p,n,quantile,value,method,reps,seed,tool_version
r_bar,uniform,64,50,0.5,0.1406842453238945,closed_form,,,0.1.0
r_bar,uniform,64,50,0.9,0.15698292353301482,closed_form,,,0.1.0
r_bar,uniform,64,50,0.95,0.16170503697195182,closed_form,,,0.1.0
r_bar,uniform,64,50,0.99,0.1706759170000985,closed_form,,,0.1.0
r_bar,uniform,64,70,0.5,0.11889988850875988,closed_form,,,0.1.0
r_bar,uniform,64,70,0.9,0.13267478574364885,closed_form,,,0.1.0
r_bar,uniform,64,70,0.95,0.13666570000787714,closed_form,,,0.1.0
r_bar,uniform,64,70,0.99,0.14424747743232438,closed_form,,,0.1.0
r_bar,uniform,64,100,0.5,0.09947878387463766,closed_form,,,0.1.0
r_bar,uniform,64,100,0.9,0.11100368976068403,closed_form,,,0.1.0
r_bar,uniform,64,100,0.95,0.11434272819488851,closed_form,,,0.1.0
r_bar,uniform,64,100,0.99,0.12068609829600199,closed_form,,,0.1.0
r_bar,uniform,64,500,0.5,0.04448826461253995,closed_form,,,0.1.0
r_bar,uniform,64,500,0.9,0.04964235921163737,closed_form,,,0.1.0
r_bar,uniform,64,500,0.95,0.05113562259531051,closed_form,,,0.1.0
r_bar,uniform,64,500,0.99,0.053972463945816396,closed_form,,,0.1.0
r_bar,uniform,64,700,0.5,0.037599446122776235,closed_form,,,0.1.0
r_bar,uniform,64,700,0.9,0.04195545110247669,closed_form,,,0.1.0
r_bar,uniform,64,700,0.95,0.04321748900461834,closed_form,,,0.1.0
r_bar,uniform,64,700,0.99,0.04561505754198819,closed_form,,,0.1.0
r_bar,uniform,64,1000,0.5,0.03145795359074851,closed_form,,,0.1.0
r_bar,uniform,64,1000,0.9,0.03510244883264726,closed_form,,,0.1.0
r_bar,uniform,64,1000,0.95,0.0361583454973401,closed_form,,,0.1.0
r_bar,uniform,64,1000,0.99,0.03816429525343322,closed_form,,,0.1.0
r_bar,uniform,64,10000,0.5,0.009947878387463766,closed_form,,,0.1.0
r_bar,uniform,64,10000,0.9,0.011100368976068403,closed_form,,,0.1.0
r_bar,uniform,64,10000,0.95,0.01143427281948885,closed_form,,,0.1.0
r_bar,uniform,64,10000,0.99,0.012068609829600199,closed_form,,,0.1.0
r_bar,uniform,128,50,0.5,0.14105293451358944,closed_form,,,0.1.0
r_bar,uniform,128,50,0.9,0.15252318239522597,closed_form,,,0.1.0
r_bar,uniform,128,50,0.95,0.15582678727691227,closed_form,,,0.1.0
r_bar,uniform,128,50,0.99,0.16208273498175677,closed_form,,,0.1.0
r_bar,uniform,128,70,0.5,0.11921148774610292,closed_form,,,0.1.0
r_bar,uniform,128,70,0.9,0.1289056165460588,closed_form,,,0.1.0
r_bar,uniform,128,70,0.95,0.1316976722677579,closed_form,,,0.1.0
r_bar,uniform,128,70,0.99,0.1369849130878663,closed_form,,,0.1.0
r_bar,uniform,128,100,0.5,0.0997394865008211,closed_form,,,0.1.0
r_bar,uniform,128,100,0.9,0.10785017655981692,closed_form,,,0.1.0
r_bar,uniform,128,100,0.95,0.11018617797401829,closed_form,,,0.1.0
r_bar,uniform,128,100,0.99,0.11460980101886226,closed_form,,,0.1.0
r_bar,uniform,128,500,0.5,0.04460485437135172,closed_form,,,0.1.0
r_bar,uniform,128,500,0.9,0.048232065234621015,closed_form,,,0.1.0
r_bar,uniform,128,500,0.95,0.04927675682615899,closed_form,,,0.1.0
r_bar,uniform,128,500,0.99,0.05125506119318013,closed_form,,,0.1.0
r_bar,uniform,128,700,0.5,0.037697982453493775,closed_form,,,0.1.0
r_bar,uniform,128,700,0.9,0.04076353514738332,closed_form,,,0.1.0
r_bar,uniform,128,700,0.95,0.04164646069085074,closed_form,,,0.1.0
r_bar,uniform,128,700,0.99,0.043318433043786665,closed_form,,,0.1.0
r_bar,uniform,128,1000,0.5,0.03154039499982122,closed_form,,,0.1.0
r_bar,uniform,128,1000,0.9,0.034105220398032446,closed_form,,,0.1.0
r_bar,uniform,128,1000,0.95,0.03484392890665752,closed_form,,,0.1.0
r_bar,uniform,128,1000,0.99,0.03624280133982913,closed_form,,,0.1.0
r_bar,uniform,128,10000,0.5,0.00997394865008211,closed_form,,,0.1.0
r_bar,uniform,128,10000,0.9,0.010785017655981693,closed_form,,,0.1.0
r_bar,uniform,128,10000,0.95,0.01101861779740183,closed_form,,,0.1.0
r_bar,uniform,128,10000,0.99,0.011460980101886224,closed_form,,,0.1.0
r_bar,uniform,256,50,0.5,0.14123717941159325,closed_form,,,0.1.0
r_bar,uniform,256,50,0.9,0.14931946317719816,closed_form,,,0.1.0
r_bar,uniform,256,50,0.95,0.15163707414938615,closed_form,,,0.1.0
r_bar,uniform,256,50,0.99,0.15601490892473002,closed_form,,,0.1.0
r_bar,uniform,256,70,0.5,0.11936720310556288,closed_form,,,0.1.0
r_bar,uniform,256,70,0.9,0.1261979796179871,closed_form,,,0.1.0
r_bar,uniform,256,70,0.95,0.12815671839193726,closed_form,,,0.1.0
r_bar,uniform,256,70,0.99,0.13185666407881758,closed_form,,,0.1.0
r_bar,uniform,256,100,0.5,0.09986976731759863,closed_form,,,0.1.0
r_bar,uniform,256,100,0.9,0.1055848049757318,closed_form,,,0.1.0
r_bar,uniform,256,100,0.95,0.10722360341031828,closed_form,,,0.1.0
r_bar,uniform,256,100,0.99,0.1103192000668782,closed_form,,,0.1.0
r_bar,uniform,256,500,0.5,0.04466311772384747,closed_form,,,0.1.0
r_bar,uniform,256,500,0.9,0.04721896026335887,closed_form,,,0.1.0
r_bar,uniform,256,500,0.95,0.04795185320358999,closed_form,,,0.1.0
r_bar,uniform,256,500,0.99,0.049336246114587805,closed_form,,,0.1.0
r_bar,uniform,256,700,0.5,0.037747223973750306,closed_form,,,0.1.0
r_bar,uniform,256,700,0.9,0.039907305170434504,closed_form,,,0.1.0
r_bar,uniform,256,700,0.95,0.04052671275713133,closed_form,,,0.1.0
r_bar,uniform,256,700,0.99,0.04169673831607713,closed_form,,,0.1.0
r_bar,uniform,256,1000,0.5,0.031581593411465624,closed_form,,,0.1.0
r_bar,uniform,256,1000,0.9,0.033388847002799184,closed_form,,,0.1.0
r_bar,uniform,256,1000,0.95,0.03390708057072035,closed_form,,,0.1.0
r_bar,uniform,256,1000,0.99,0.03488599418591349,closed_form,,,0.1.0
r_bar,uniform,256,10000,0.5,0.009986976731759863,closed_form,,,0.1.0
r_bar,uniform,256,10000,0.9,0.010558480497573181,closed_form,,,0.1.0
r_bar,uniform,256,10000,0.95,0.010722360341031828,closed_form,,,0.1.0
r_bar,uniform,256,10000,0.99,0.01103192000668782,closed_form,,,0.1.0
r_bar,uniform,512,50,0.5,0.14132927640831053,closed_form,,,0.1.0
r_bar,uniform,512,50,0.9,0.14702970903344081,closed_form,,,0.1.0
r_bar,uniform,512,50,0.95,0.14865905627535644,closed_form,,,0.1.0
r_bar,uniform,512,50,0.99,0.15173096855616178,closed_form,,,0.1.0
r_bar,uniform,512,70,0.5,0.11944503927418622,closed_form,,,0.1.0
r_bar,uniform,512,70,0.9,0.12426278416110831,closed_form,,,0.1.0
r_bar,uniform,512,70,0.95,0.1256398339150435,closed_form,,,0.1.0
r_bar,uniform,512,70,0.99,0.12823607364931888,closed_form,,,0.1.0
r_bar,uniform,512,100,0.5,0.09993488972850433,closed_form,,,0.1.0
r_bar,uniform,512,100,0.9,0.10396570429343098,closed_form,,,0.1.0
r_bar,uniform,512,100,0.95,0.10511782677709712,closed_form,,,0.1.0
r_bar,uniform,512,100,0.99,0.10728999678206481,closed_form,,,0.1.0
r_bar,uniform,512,500,0.5,0.04469224135137624,closed_form,,,0.1.0
r_bar,uniform,512,500,0.9,0.04649487642575069,closed_form,,,0.1.0
r_bar,uniform,512,500,0.95,0.04701012126412736,closed_form,,,0.1.0
r_bar,uniform,512,500,0.99,0.04798154522208612,closed_form,,,0.1.0
r_bar,uniform,512,700,0.5,0.037771837931469376,closed_form,,,0.1.0
r_bar,uniform,512,700,0.9,0.0392953426342998,closed_form,,,0.1.0
r_bar,uniform,512,700,0.95,0.03973080400168075,closed_form,,,0.1.0
r_bar,uniform,512,700,0.99,0.04055180709289481,closed_form,,,0.1.0
r_bar,uniform,512,1000,0.5,0.03160218692598397,closed_form,,,0.1.0
r_bar,uniform,512,1000,0.9,0.032876842411078855,closed_form,,,0.1.0
r_bar,uniform,512,1000,0.95,0.03324117553026637,closed_form,,,0.1.0
r_bar,uniform,512,1000,0.99,0.03392807599834608,closed_form,,,0.1.0
r_bar,uniform,512,10000,0.5,0.009993488972850434,closed_form,,,0.1.0
r_bar,uniform,512,10000,0.9,0.010396570429343098,closed_form,,,0.1.0
r_bar,uniform,512,10000,0.95,0.010511782677709712,closed_form,,,0.1.0
r_bar,uniform,512,10000,0.99,0.01072899967820648,closed_form,,,0.1.0
r_bar,uniform,1024,50,0.5,0.1413753184780934,closed_form,,,0.1.0
r_bar,uniform,1024,50,0.9,0.14539868263547967,closed_form,,,0.1.0
r_bar,uniform,1024,50,0.95,0.14654598426831983,closed_form,,,0.1.0
r_bar,uniform,1024,50,0.99,0.148706017786227,closed_form,,,0.1.0
r_bar,uniform,1024,70,0.5,0.11948395192535971,closed_form,,,0.1.0
r_bar,uniform,1024,70,0.9,0.12288431526129692,closed_form,,,0.1.0
r_bar,uniform,1024,70,0.95,0.12385396211774877,closed_form,,,0.1.0
r_bar,uniform,1024,70,0.99,0.1256795236357642,closed_form,,,0.1.0
r_bar,uniform,1024,100,0.5,0.09996744638826767,closed_form,,,0.1.0
r_bar,uniform,1024,100,0.9,0.1028123944671384,closed_form,,,0.1.0
r_bar,uniform,1024,100,0.95,0.10362365923178607,closed_form,,,0.1.0
r_bar,uniform,1024,100,0.99,0.10515103357988846,closed_form,,,0.1.0
r_bar,uniform,1024,500,0.5,0.04470680113224647,closed_form,,,0.1.0
r_bar,uniform,1024,500,0.9,0.045979100591608944,closed_form,,,0.1.0
r_bar,uniform,1024,500,0.95,0.04634190922390946,closed_form,,,0.1.0
r_bar,uniform,1024,500,0.99,0.04702497179779873,closed_form,,,0.1.0
r_bar,uniform,1024,700,0.5,0.03778414319221976,closed_form,,,0.1.0
r_bar,uniform,1024,700,0.9,0.03885943249358875,closed_form,,,0.1.0
r_bar,uniform,1024,700,0.95,0.039166061752829766,closed_form,,,0.1.0
r_bar,uniform,1024,700,0.99,0.039743354993398095,closed_form,,,0.1.0
r_bar,uniform,1024,1000,0.5,0.0316124822457699,closed_form,,,0.1.0
r_bar,uniform,1024,1000,0.9,0.032512133821185084,closed_form,,,0.1.0
r_bar,uniform,1024,1000,0.95,0.032768678265357794,closed_form,,,0.1.0
r_bar,uniform,1024,1000,0.99,0.03325167644332964,closed_form,,,0.1.0
r_bar,uniform,1024,10000,0.5,0.009996744638826766,closed_form,,,0.1.0
r_bar,uniform,1024,10000,0.9,0.010281239446713839,closed_form,,,0.1.0
r_bar,uniform,1024,10000,0.95,0.010362365923178608,closed_form,,,0.1.0
r_bar,uniform,1024,10000,0.99,0.010515103357988845,closed_form,,,0.1.0
r_bar,uniform,2048,50,0.5,0.14139833789768497,closed_form,,,0.1.0
r_bar,uniform,2048,50,0.9,0.1442395069333641,closed_form,,,0.1.0
r_bar,uniform,2048,50,0.95,0.14504832634921666,closed_form,,,0.1.0
r_bar,uniform,2048,50,0.99,0.14656952450452754,closed_form,,,0.1.0
r_bar,uniform,2048,70,0.5,0.1195034068857689,closed_form,,,0.1.0
r_bar,uniform,2048,70,0.9,0.12190463298467603,closed_form,,,0.1.0
r_bar,uniform,2048,70,0.95,0.12258821015529087,closed_form,,,0.1.0
r_bar,uniform,2048,70,0.99,0.12387385724853703,closed_form,,,0.1.0
r_bar,uniform,2048,100,0.5,0.09998372357595983,closed_form,,,0.1.0
r_bar,uniform,2048,100,0.9,0.10199273346758579,closed_form,,,0.1.0
r_bar,uniform,2048,100,0.95,0.10256465516129049,closed_form,,,0.1.0
r_bar,uniform,2048,100,0.99,0.10364030469243928,closed_form,,,0.1.0
r_bar,uniform,2048,500,0.5,0.04471408051187891,closed_form,,,0.1.0
r_bar,uniform,2048,500,0.9,0.045612537048907935,closed_form,,,0.1.0
r_bar,uniform,2048,500,0.95,0.04586830820589404,closed_form,,,0.1.0
r_bar,uniform,2048,500,0.99,0.04634935330021693,closed_form,,,0.1.0
r_bar,uniform,2048,700,0.5,0.03779029539088791,closed_form,,,0.1.0
r_bar,uniform,2048,700,0.9,0.03854962975584664,closed_form,,,0.1.0
r_bar,uniform,2048,700,0.95,0.03876579583741028,closed_form,,,0.1.0
r_bar,uniform,2048,700,0.99,0.03917235314559355,closed_form,,,0.1.0
r_bar,uniform,2048,1000,0.5,0.03161762954447083,closed_form,,,0.1.0
r_bar,uniform,2048,1000,0.9,0.03225293425440544,closed_form,,,0.1.0
r_bar,uniform,2048,1000,0.95,0.03243379177394224,closed_form,,,0.1.0
r_bar,uniform,2048,1000,0.99,0.032773942022194476,closed_form,,,0.1.0
r_bar,uniform,2048,10000,0.5,0.009998372357595984,closed_form,,,0.1.0
r_bar,uniform,2048,10000,0.9,0.010199273346758578,closed_form,,,0.1.0
r_bar,uniform,2048,10000,0.95,0.010256465516129049,closed_form,,,0.1.0
r_bar,uniform,2048,10000,0.99,0.010364030469243928,closed_form,,,0.1.0
r_bar,uniform,4096,50,0.5,0.1414098472026383,closed_form,,,0.1.0
r_bar,uniform,4096,50,0.9,0.14341694813108716,closed_form,,,0.1.0
r_bar,uniform,4096,50,0.95,0.1439876344811735,closed_form,,,0.1.0
r_bar,uniform,4096,50,0.99,0.14506015674422174,closed_form,,,0.1.0
r_bar,uniform,4096,70,0.5,0.11951313402381919,closed_form,,,0.1.0
r_bar,uniform,4096,70,0.9,0.12120944391316729,closed_form,,,0.1.0
r_bar,uniform,4096,70,0.95,0.12169176191005823,closed_form,,,0.1.0
r_bar,uniform,4096,70,0.99,0.12259820866396452,closed_form,,,0.1.0
r_bar,uniform,4096,100,0.5,0.09999186188353909,closed_form,,,0.1.0
r_bar,uniform,4096,100,0.9,0.1014110965605711,closed_form,,,0.1.0
r_bar,uniform,4096,100,0.95,0.10181463274864773,closed_form,,,0.1.0
r_bar,uniform,4096,100,0.99,0.1025730205138227,closed_form,,,0.1.0
r_bar,uniform,4096,500,0.5,0.04471772007367271,closed_form,,,0.1.0
r_bar,uniform,4096,500,0.9,0.04535242111644641,closed_form,,,0.1.0
r_bar,uniform,4096,500,0.95,0.045532887986030515,closed_form,,,0.1.0
r_bar,uniform,4096,500,0.99,0.045872049305277586,closed_form,,,0.1.0
r_bar,uniform,4096,700,0.5,0.03779337138202329,closed_form,,,0.1.0
r_bar,uniform,4096,700,0.9,0.038329791668804104,closed_form,,,0.1.0
r_bar,uniform,4096,700,0.95,0.03848231401147065,closed_form,,,0.1.0
